world	regime	comparison	direction	left	right	t	truth	rank	matchedL	cold_log2	candidate_log2	left_live	right_live	left_minus_right_bits	w_before	w_after	hazard	left_odds_before	left_odds_after	left_cap_after	left_clipped	right_odds_before	right_odds_after	right_cap_after	right_clipped
218	switched	witnessed_vs_witness	help	h10l5	witness	11468	102	3	3	-2.9288120183170023	-6.152934128833117	-3.76047899232226	-4.897009838017227	1.136530845694967	-2.0492547726516066	-5.209337671522358	2^-10	-0.05411167604494687	-3.2797885699913008	5.0	0	2.325109649003673	-0.9011773520948831		0
218	switched	witnessed_vs_witness	harm	h10l5	witness	11456	62	2	2	-4.027508713082299	-1.9560221369887154	-3.349709638512058	-2.556304697953041	-0.7934049405590171	-5.207247382483634	-2.9730343256874368	2^-10	-2.118144607551407	-0.04943100358685378	5.0	0	0.3091269082213047	2.3718856399277133		0
218	moved_mid	tight_vs_loose	help	h5l5	h16l5	8362	163	4	1	-5.739781091667607	-15.981778445102151	-7.622080913915942	-13.52285218948809	5.900771275572148	0.2410743424146656	-10.008456584220339	2^-16	1.430192417094754	-8.811826999273622	5.0	0	8.066125197916291	-2.1758990412838974	5.0	0
218	moved_mid	tight_vs_loose	harm	h5l5	h16l5	15631	34	2	1	-7.991098426699008	-4.256715368335854	-7.902285983139722	-4.819355429745816	-3.082930553393906	-1.6195609903102224	2.165433349000126	2^-10	-7.591464525193693	-3.858588258677958	5.0	0	0.8983330821180305	4.5967721016203695	16.0	0
218	moved_mid	witnessed_vs_fixed	help	h10l5	h5l5	9095	113	2	4	-5.1031035844652886	-1.3002222566978128	-2.7419801077847596	-4.794561709135071	2.0525816013503118	-0.8205874315669583	3.007937253436985	2^-16	-1.0917771941400385	2.7109379756774077	10.0	0	-5.737031421500335	-1.9341778681319222	5.0	0
218	moved_mid	witnessed_vs_fixed	harm	h10l5	h5l5	8362	163	4	1	-5.739781091667607	-15.981778445102151	-11.903241900464067	-7.622080913915942	-4.281160986548126	0.2410743424146656	-10.008456584220339	2^-16	6.231214247562239	-4.0108064854348955	5.0	0	1.430192417094754	-8.811826999273622	5.0	0
218	moved_mid	witnessed_vs_witness	help	h10l5	witness	15579	246	4	1	-3.173613242468277	-15.272801774003579	-5.8467615846896095	-9.252285203479179	3.4055236187895694	0.17434208510111718	-11.930294636593594	2^-16	2.4292210194475983	-9.669989553058636	5.0	0	6.07956345403636	-6.019647430764165		0
218	moved_mid	witnessed_vs_witness	harm	h10l5	witness	15631	34	2	1	-7.991098426699008	-4.256715368335854	-6.543558929045378	-4.788155368014616	-1.7554035610307626	-1.6195609903102224	2.165433349000126	2^-10	-2.614925844765388	1.1149898758364978	10.0	0	1.0010696245119046	4.696992173032602		0
219	switched	tight_vs_loose	help	h5l5	h16l5	8217	148	3	2	-1.2267151536223277	-5.573535223273666	-2.944993636109703	-5.510783710439268	2.5657900743295654	5.512676312232948	0.9935851078243301	2^-16	1.4500962071888421	-2.8967488323346307	5.0	0	8.76228193233552	4.41497015975063	16.0	0
219	switched	tight_vs_loose	harm	h5l5	h16l5	8235	56	1	3	-3.583436125118874	-0.713433397965755	-3.2175062697666026	-0.8685627243447747	-2.348943545421828	-0.20374813882980647	2.6726217176617446	2^-16	-4.382528722703536	-1.5125557252406734	5.0	0	2.900564160188906	5.769343639668316	16.0	0
219	switched	witnessed_vs_fixed	help	h10l5	h5l5	8235	56	1	3	-3.583436125118874	-0.713433397965755	-1.3813690546422275	-3.2175062697666026	1.836137215124375	-0.20374813882980647	2.6726217176617446	2^-16	0.4106388311853432	3.2804056329936335	10.0	0	-4.382528722703536	-1.5125557252406734	5.0	0
219	switched	witnessed_vs_fixed	harm	h10l5	h5l5	8217	148	3	2	-1.2267151536223277	-5.573535223273666	-5.250201114578163	-2.944993636109703	-2.3052074784684597	5.512676312232948	0.9935851078243301	2^-16	6.248246478772985	1.9013221579177804	10.0	0	1.4500962071888421	-2.8967488323346307	5.0	0
219	switched	witnessed_vs_witness	help	h10l5	witness	8224	44	1	3	-3.0183989365954442	-5.6793964485137405	-3.8681171006794117	-4.897509882848492	1.0293927821690807	-0.7726468929140429	-3.409499189428775	2^-16	0.1658018917394443	-2.495221538624918	5.0	0	2.6784812357452576	0.017439427868924988		0
219	switched	witnessed_vs_witness	harm	h10l5	witness	8234	56	3	2	-4.318885065078762	-1.8627809809605531	-3.4107188920336156	-2.4726293081613275	-0.938089583872288	-2.7456539075592414	-0.20374813882980647	2^-10	-2.0421798425491686	0.4106388311853432	10.0	0	0.456438930781261	2.900564160188906		0
219	moved_mid	tight_vs_loose	help	h5l5	h16l5	15076	32	4	3	-2.135920951395796	-12.741624883920117	-7.147543162766572	-12.513499241819869	5.365956079053296	10.054387770604897	-0.8655157797508266	2^-16	4.996372125380816	-5.609354272029368	5.0	0	13.14991939638628	2.544065051266236	16.0	0
219	moved_mid	tight_vs_loose	harm	h5l5	h16l5	13256	198	2	2	-6.129398884355176	-1.4074762001293057	-5.188414496042829	-1.5148192876783888	-3.67359520836444	-1.1324513555591982	3.6248604335278967	2^-10	-4.733503947746221	-0.01438777455980011	5.0	0	3.6343343297129365	7.954282069960224	16.0	0
219	moved_mid	witnessed_vs_fixed	help	h10l5	h5l5	13256	198	2	2	-6.129398884355176	-1.4074762001293057	-2.262513956458776	-5.188414496042829	2.925900539584053	-1.1324513555591982	3.6248604335278967	2^-10	0.20369810743520925	4.882015576299831	10.0	0	-4.733503947746221	-0.01438777455980011	5.0	0
219	moved_mid	witnessed_vs_fixed	harm	h10l5	h5l5	15076	32	4	3	-2.135920951395796	-12.741624883920117	-11.342207948645243	-7.147543162766572	-4.19466478587867	10.054387770604897	-0.8655157797508266	2^-16	9.891368663843156	-0.7143706996539548	10.0	0	4.996372125380816	-5.609354272029368	5.0	0
219	moved_mid	witnessed_vs_witness	help	h10l5	witness	15570	165	4	7	-5.070465832786394	-11.772491870111969	-8.673832916096384	-10.314984206646574	1.6411512905501908	1.7683053917096756	-4.988980189106827	2^-16	3.6585837349676806	-3.043466986400587	5.0	0	5.859129227844553	-0.8429310965640431		0
