world	regime	comparison	direction	t	truth	matchedL	cold_log2	candidate_log2	new_log2	other_log2	new_minus_other_bits	w_before	w_after	new_odds_before	new_odds_after	new_cap_after
213	moved_mid	ceiling	harm	10782	187	1	-1.1438977530325478	-14.8324543835424	-10.806995346328096	-6.036436367114806	-4.770558979213289	6.740346154886623	-7.158846292963436	9.752745021684461	-3.9358350612301725	5.0
213	moved_mid	witness	help	13980	255	1	-7.01785691845509	-15.371588555399969	-10.644659083167296	-14.062762537457566	3.4181034542902697	6.9701230557698315	-1.6014249266678546	3.5605493894050726	-4.793205055454812	5.0
213	moved_mid	witness	harm	15009	220	2	-6.092886883054984	-3.0103125396449304	-5.341348382668382	-4.059706941951191	-1.2816414407171912	-3.669072271911975	-0.4718394200046724	-3.311716808371664	-0.2317535108688599	10.0
214	switched	ceiling	help	8266	197	2	-4.407809958963389	-2.330698102675596	-2.7142099559997814	-4.108720789590205	1.3945108335904233	-0.3564951920118874	1.7317571390262771	1.181856966067278	3.2587360862224806	10.0
214	switched	ceiling	harm	8245	161	2	-2.014074918791806	-5.467655720254244	-5.219309014425371	-3.261772030241892	-1.9575369841834789	4.433347786987389	0.8412248671815952	5.700393957948093	2.2466866616066166	10.0
214	switched	witness	help	8307	99	2	-3.903804443523243	-6.253777684621784	-4.302572586679875	-5.17597011012347	0.8733975234435949	-1.0175610167483584	-3.3357354760735127	-1.2194943619253953	-3.570995842994756	5.0
214	switched	witness	harm	8283	197	1	-6.101546130287128	-3.210704389358365	-5.416824099823009	-4.257118725506446	-1.1597053743165624	-4.069360024019513	-1.0513507823401405	-3.2577479801927796	-0.3694079045008412	5.0
214	moved_mid	ceiling	help	11864	95	8	-7.055727807276676	-2.8004678837755717	-3.283520987803967	-5.844627783015587	2.5611067952116198	1.3224011030223302	5.536335992053986	1.2205985618064397	5.474857105757084	10.0
214	moved_mid	ceiling	harm	15889	1	2	-3.764801485698918	-14.287387607168888	-9.893218733834745	-5.505271763629491	-4.387946970205254	5.4710181918506695	-5.222537248114635	6.177942954479523	-4.344666264431764	5.0
214	moved_mid	witness	help	15889	1	2	-3.764801485698918	-14.287387607168888	-9.893218733834745	-12.958347646818503	3.0651289129837576	5.4710181918506695	-5.222537248114635	6.177942954479523	-4.344666264431764	5.0
214	moved_mid	witness	harm	11825	100	2	-4.455614470769759	-1.2096550395830568	-3.4309870260347135	-2.1208268140701	-1.3101602119646136	-1.8944055076899955	1.4107540956120193	-2.8489052485798063	0.39379056547967867	10.0
215	switched	ceiling	help	8502	30	1	-5.271613561090572	-1.9547362685898635	-2.7120207098037534	-4.830884802797247	2.118864092993493	0.5472345438519742	3.847010756857308	0.266529765979244	3.5831211879674885	10.0
215	switched	ceiling	harm	10289	193	5	-1.0069621249910101	-7.033132743220604	-3.7780174950252916	-1.3104404951799373	-2.4675769998453543	-1.0018872595522823	-6.996748900920868	2.702144629941975	-3.325576235147478	5.0
215	switched	witness	help	8878	109	3	-2.4728576798030204	-5.65613019847666	-3.2564098105436896	-4.854371670554578	1.597961860010888	3.9925929639250484	0.6845519151287509	-0.1680826247902033	-3.3513793143401553	10.0
215	switched	witness	harm	9324	134	1	-7.769847544728151	-3.6997994475701708	-5.590524284362967	-4.274656573381659	-1.3158677109813084	-3.735743802694724	0.4510462882974665	-1.7972382688539137	2.264607662964867	10.0
215	moved_mid	ceiling	help	16215	28	3	-4.957049361367743	-1.4716776047453863	-1.7702903583457825	-3.820077732513085	2.0497873741673023	-2.316914133475979	1.2408611898175024	1.9527034122817875	5.37684330486939	10.0
215	moved_mid	ceiling	harm	16204	30	1	-3.79385020258505	-15.47320777745677	-13.31984097169149	-8.820753486467366	-4.499087485224123	4.8672177477023375	-6.96424038178508	9.891368663843156	-1.7880172996112942	5.0
215	moved_mid	witness	help	15745	130	2	-6.673567030942469	-15.297214182525142	-10.086831551260936	-12.638779689231638	2.5519481379707027	2.8287311545223037	-5.883313845639192	3.310564539203353	-5.31310518005561	5.0
215	moved_mid	witness	harm	13918	200	1	-5.369013662765051	-2.607217035979834	-4.201623998276758	-3.0476969266471654	-1.1539270716295924	-1.8833284095710288	0.9373222300132824	-1.8641719968562658	0.8935927030243715	10.0
